what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1339658267480
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1339658267480
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339658267480
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339658267480
java.vm.specification.version,sysinfo,,,"1.7",1339658267480
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339658267480
java.vm.version,sysinfo,,,"22.0-b10",1339658267480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658267513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658267535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658267544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658268134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658335465
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339658339193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339658339287
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339658339289
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1339658341166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339658341418
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1339658341763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658344362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658402114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658404438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658443453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658444136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658449532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658463999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658473063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658474092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658510585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658511506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658583022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658583736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658705234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658706311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658772514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658773352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658817454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658819495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658827364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658828218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658829450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658830780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339658832484
